Extension,File_Size,Entropy,Mime_Type,Is_Executable,Threat
jpg,4170668,1.83,image/jpeg,0,Benign
apk,12545964,5.45,application/vnd.android.package-archive,1,Malware
xlsm,73265051,7.46,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
scr,31582076,5.83,application/x-dosexec,1,Malware
csv,2333644,4.47,text/csv,0,Benign
bat,39375327,4.9,text/plain,1,Malware
7z,23456485,4.51,application/x-7z-compressed,0,Suspicious
vbs,6874118,7.51,text/plain,1,Malware
docx,7374074,2.25,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
rar,78866030,6.6,application/x-rar-compressed,0,Suspicious
apk,35211232,5.43,application/vnd.android.package-archive,1,Malware
pdf,2367988,3.15,application/pdf,0,Benign
pptm,27014790,5.18,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
csv,7284796,4.4,text/csv,0,Benign
pptm,37589154,5.27,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
js,24649343,6.23,application/javascript,1,Malware
iso,20703600,7.16,application/x-iso9660-image,0,Suspicious
pptx,3692049,4.25,application/vnd.ms-powerpoint,0,Benign
xlsm,35838236,6.35,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
png,1511846,4.79,image/png,0,Benign
apk,31910021,7.03,application/vnd.android.package-archive,1,Malware
vbs,27041985,6.27,text/plain,1,Malware
csv,7696022,2.82,text/csv,0,Benign
ps1,26616931,5.85,text/plain,1,Malware
xlsm,44516388,5.66,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
rar,39523603,4.32,application/x-rar-compressed,0,Suspicious
jpg,6444496,1.99,image/jpeg,0,Benign
rar,26546904,7.45,application/x-rar-compressed,0,Suspicious
xlsm,67745334,4.34,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
pptx,309417,2.96,application/vnd.ms-powerpoint,0,Benign
xlsm,71678294,7.33,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
png,7955026,3.83,image/png,0,Benign
iso,26293779,4.68,application/x-iso9660-image,0,Suspicious
gif,4233504,3.63,image/gif,0,Benign
jpg,4690030,2.98,image/jpeg,0,Benign
rar,6160359,6.84,application/x-rar-compressed,0,Suspicious
rar,315695,7.44,application/x-rar-compressed,0,Suspicious
js,48018522,7.58,application/javascript,1,Malware
png,399924,4.18,image/png,0,Benign
js,37775383,6.41,application/javascript,1,Malware
xlsm,10845179,5.65,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
txt,6427599,5.6,text/plain,0,Benign
dll,3174606,6.65,application/x-msdownload,1,Malware
vbs,37836361,7.91,text/plain,1,Malware
pptm,27149777,4.15,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
csv,7213303,4.46,text/csv,0,Benign
docm,69751871,7.02,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
jpg,2809207,3.41,image/jpeg,0,Benign
dll,19165778,5.98,application/x-msdownload,1,Malware
rar,41034652,6.72,application/x-rar-compressed,0,Suspicious
zip,70543362,5.74,application/zip,0,Suspicious
scr,32852121,5.53,application/x-dosexec,1,Malware
xlsx,1312442,4.55,application/vnd.ms-excel.sheet,0,Benign
docx,7664152,3.7,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
docx,4660395,5.26,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
txt,975575,3.28,text/plain,0,Benign
csv,2125704,2.15,text/csv,0,Benign
xlsm,23977699,4.1,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
pptm,5269726,5.68,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
pptx,2146286,5.85,application/vnd.ms-powerpoint,0,Benign
gif,2840969,3.85,image/gif,0,Benign
iso,45570291,4.62,application/x-iso9660-image,0,Suspicious
pptm,29147582,6.74,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
dll,25472879,7.02,application/x-msdownload,1,Malware
xlsm,15479371,4.32,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
txt,411134,2.59,text/plain,0,Benign
gif,2707538,1.28,image/gif,0,Benign
docm,59687176,5.49,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
bat,37307297,6.32,text/plain,1,Malware
ps1,24836556,7.1,text/plain,1,Malware
pptm,41043065,4.09,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
exe,7685300,5.87,application/x-dosexec,1,Malware
7z,6542056,6.31,application/x-7z-compressed,0,Suspicious
xlsm,56537071,6.14,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
iso,47479070,4.33,application/x-iso9660-image,0,Suspicious
rar,54943188,6.83,application/x-rar-compressed,0,Suspicious
js,2912517,6.06,application/javascript,1,Malware
bat,10348915,6.16,text/plain,1,Malware
exe,2390422,5.9,application/x-dosexec,1,Malware
jar,8612591,6.05,application/java-archive,1,Malware
jar,40730373,6.36,application/java-archive,1,Malware
jar,35677402,7.67,application/java-archive,1,Malware
pptm,64852660,4.76,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
apk,8226491,6.22,application/vnd.android.package-archive,1,Malware
bat,27137151,5.85,text/plain,1,Malware
zip,227360,6,application/zip,0,Suspicious
vbs,45284162,6.14,text/plain,1,Malware
png,7260836,4.24,image/png,0,Benign
xlsm,61602296,6.08,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
rar,29396506,5.29,application/x-rar-compressed,0,Suspicious
jar,29457697,6.23,application/java-archive,1,Malware
csv,3579184,3.38,text/csv,0,Benign
scr,12934691,7.9,application/x-dosexec,1,Malware
docm,79723946,5.06,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
jar,9873580,7.29,application/java-archive,1,Malware
xlsx,349567,4.71,application/vnd.ms-excel.sheet,0,Benign
iso,39235280,6.7,application/x-iso9660-image,0,Suspicious
dll,19103517,6.99,application/x-msdownload,1,Malware
apk,13846906,6.28,application/vnd.android.package-archive,1,Malware
xlsm,26108941,4.55,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
rar,8029970,5.93,application/x-rar-compressed,0,Suspicious
xlsx,5900351,3.9,application/vnd.ms-excel.sheet,0,Benign
